old_id,innovation_old_id,key,value
47672,36385,volume_A15,
47673,36385,net_sales_A15,
47674,36385,contributing_margin_A15,
47675,36385,central_investment_A15,
47676,36385,advertising_promotion_A15,
47678,36385,volume_B16,
47679,36385,net_sales_B16,
47680,36385,contributing_margin_B16,
47681,36385,central_investment_B16,
47682,36385,advertising_promotion_B16,
47684,36385,volume_LE3_16,
47685,36385,net_sales_LE3_16,
47686,36385,contributing_margin_LE3_16,
47687,36385,central_investment_LE3_16,
47688,36385,advertising_promotion_LE3_16,
47690,36385,volume_B17_initial,
47691,36385,net_sales_B17_initial,
47692,36385,contributing_margin_B17_initial,
47693,36385,central_investment_B17_initial,
47694,36385,advertising_promotion_B17_initial,
47696,36405,volume_A15,
47697,36405,net_sales_A15,
47698,36405,contributing_margin_A15,
47699,36405,central_investment_A15,
47700,36405,advertising_promotion_A15,
47702,36405,volume_B16,
47703,36405,net_sales_B16,
47704,36405,contributing_margin_B16,
47705,36405,central_investment_B16,
47706,36405,advertising_promotion_B16,
47708,36405,volume_LE3_16,
47709,36405,net_sales_LE3_16,
47710,36405,contributing_margin_LE3_16,
47711,36405,central_investment_LE3_16,
47712,36405,advertising_promotion_LE3_16,
47714,36405,volume_B17_initial,
47715,36405,net_sales_B17_initial,
47716,36405,contributing_margin_B17_initial,
47717,36405,central_investment_B17_initial,
47718,36405,advertising_promotion_B17_initial,
47720,36421,volume_A15,
47721,36421,net_sales_A15,
47722,36421,contributing_margin_A15,
47723,36421,central_investment_A15,
47724,36421,advertising_promotion_A15,
47726,36421,volume_B16,
47727,36421,net_sales_B16,
47728,36421,contributing_margin_B16,
47729,36421,central_investment_B16,
47730,36421,advertising_promotion_B16,
47732,36421,volume_LE3_16,
47733,36421,net_sales_LE3_16,
47734,36421,contributing_margin_LE3_16,
47735,36421,central_investment_LE3_16,
47736,36421,advertising_promotion_LE3_16,
47738,36421,volume_B17_initial,
47739,36421,net_sales_B17_initial,
47740,36421,contributing_margin_B17_initial,
47741,36421,central_investment_B17_initial,
47742,36421,advertising_promotion_B17_initial,
47744,36440,volume_A15,
47745,36440,net_sales_A15,
47746,36440,contributing_margin_A15,
47747,36440,central_investment_A15,
