old_id,title,created_at,updated_at,contact_old_id,in_market_date,start_date,stage_id,type_id,classification_id,is_new_to_the_world,is_frozen,consumer_opportunity_id,moment_of_consumption_id,business_driver_id,portfolio_profile_id,entity_old_id,category,is_multi_brand,is_replacing_existing_product,replacing_product,is_in_prisma,why_invest_in_this_innovation,unique_experience,story,uniqueness,consumer_insight,early_adopter_persona,source_of_business,universal_key_information_1,universal_key_information_2,universal_key_information_3,universal_key_information_4,universal_key_information_5,pot_picture_1,pot_picture_2,pot_legend_1,pot_legend_2,key_learning_so_far,next_steps,growth_model,is_earning_any_money_yet,plan_to_make_money,markets,beautyshot_picture,packshot_picture,additional_pictures,video_url,video_password,ibp_url,mybrands_url,press_url,is_needing_financial_update,is_active,brand_old_id,financial_graph_picture
36617,"100 PIPERS 12YO",2016-07-01,2018-10-16,402,2011-05-01,2010-06-01,8,3,2,0,0,0,,,1,88,,0,0,,0,,,"At the heart of this superior blend of handpicked malt and grain whiskies is the sweet vanilla aroma of the Braeval malt whisky, sourced from the remote Livet Valley in the Speyside region of Scotland. Nurtured for 12 long years in the finest oak casks, witness a pure legend come alive with every sip.","100 pipers (12 YO) is a blended, smooth and aged Scotch premium whisky nurtured and matured in oak casks for 12 years. ","""I don't want  a ""single malt scotch"" I want a super Premium Scotch"" and "" I want a very smooth and aged whisky""",,"Competitors from the  premium scotch Whisky segment in India",,,,,,,,,,,,fast_growth,0,,"[""IN""]",58caacbd6cb94_0.jpg,,[],,,,,,0,1,36972,5a2819a70da13_0.png
91213,"1519 - FUNDACION DE LA HABANA",2017-12-21,2018-10-16,397,2019-11-01,2017-12-21,2,3,2,0,0,8,3,,1,74,Rum,0,0,,0,"Ultimate tribute to the 500th anniversary of Havana city, only 500 bottles of this exceptionnal and luxurious rum will be produced (RSP per bottle TBC). To note : prestige rums reinforce Havana Club brand equity and credibility and create a halo effect for the core of the franchise (HC7).",,"Havana Club has been chosen by Cuba to celebrate the 500th anniversary with a rum of unprecedented quality. ",,"Strong appeal for rare and collectable products.",,"Prestige rum segment - although remaining small in absolute vs. other spirits - is growing very quickly.",,,,,,,,,,,,fast_growth,0,,[],5b0d5ad6ad654_0.png,,[],,,,,,0,1,33457,
36588,"35 BY IMPERIAL",2016-07-01,2018-10-16,360,2016-12-15,2015-11-02,5,3,2,0,0,7,5,4,3,89,"Non-Scotch Whisky",0,0,,1,"The rapid growth of the low-abv trend in the local whisky category is the new opportunity for Imperial to build market awareness. Compare to competitors' products, 35 by imperial has unique brand proposition for consumers: Down-to-earth buddies in their 30’s to mid. 40’s who value friendship and trust, and seek genuine experiences. They prefer simplicity vs. complexity, comfort vs. luxury, and fun vs. serious in casual bonding  occasions.",,"We identified a new target consumer group for the brand (down-to-earth buddies) looking for more casual drinking occasions. We called that untapped opportunity the TRUE position (authentic, smooth, inclusive, casual and fun). To support the execution of the new positioning, a product story (The pursuit of smoothness) and brand experience (buddies playground) was also defined. * Consumer ethronography research video : https://vimeo.com/255487143 (Password :3535)","Light-hearted smoothness through IP’s unique blending style and 35% alcohol proof / Honest & transparent brand through a clear brand name and transparent bottle","They prefer simplicity vs. complexity, comfort vs. luxury, and fun vs. serious in casual bonding  occasions.* Consumer ethronography research video : https://vimeo.com/255487143 (Password :3535)",,"Low alcohol spirits segment is increasing in Korea. Other players launched before us, but 35's great taste is a strong asset to claim share of throat on this new consumer segment.","Shot Glass served in Imperial WE board","Local TOT (DR)","100 vs Imperial 12Yo","Golden Blue Sappirus, Windsor Ice(Diageo)","Origin: Scotland / ABV: 35% ",5a1e7176b90dd_0.jpg,5aa5d4aa098ba_0.jpg,"35 Fun boot camp Poster","35 IP 2nd Key Visual","Played a key role to regain 1.1% incremental market share in H1 FY18 vs. H1 FY17 in the super premium category nationwide. Thanks to 35 by Imperial, 2.7% incremental market share in H1 FY18 vs. H1 FY17 in the SP in YN.","Imperial would redesign the package from transparent to opaque on upcoming June. 2018 to satisfy customer needs, and give a new news to the SKU",fast_growth,0,,"[""KR""]",5a1fcfc47c5d6_0.png,5a1fcbc77acde_0.png,"[""58d4c8d926851_0.jpg"",""58d4c9f5c936f_0.jpg"",""58d4caad298b5_0.png"",""58d4cae745725_0.jpg"",""58d4cc43946fa_0.png"",""58d4ccb359987_0.jpg""]",,,,,,0,1,33476,5b187891c4412_0.png
36551,"4 TUNES ",2016-07-01,2018-10-16,529,2017-07-01,2016-01-01,7,2,2,1,0,0,,,1,87,,0,0,,0,,,"4 Tunes, an innovative premium Chinese rice-wine brand encapsulating Chinese heritage & modern lifestyle 
- Resonate Chinese consumers via carrying 4 flavors representing Chinese 4 nobles: Chrysanthemum, Orchid, Plum blossom & Bamboo 
- Celebrate Chinese value via the innovative premium Chinese rice-wine embracing the familiar Chinese rice-wine with the revamped sophisticated packaging 
- Cater to Chinese consumers’ likings toward low-ABV alcohol and drinking with Chinese cuisines 
Consumer survey shows 4 Tunes scores >90% liking and purchase intention (top-2-boxes) among target consumers and accepted as a contemporary choice in meal occasion",,,,,,,,,,,,,,,,slow_build,0,,[],,,[],,,,,,0,1,38986,5a67292b01360_0.png
36636,"51 ROSE ET 51 GLACIAL",2016-07-01,2018-10-16,788,2013-04-01,2012-01-01,8,3,2,0,0,3,,,1,80,,0,0,,0,,,"The anise is France’s second biggest spirit category but it is structurally declining and losing consumers. It is an ageing category and polarizing in terms of taste.To turn this negative trend around and lift key barriers, 51 has developped 2 innovative products, lighter in alcohol & anise with different tastes. 51 Rosé in 2013, a sweeter taste to target women and 51 Glacial in 2014, an extra fresh taste and modern image for 51. Also performances are corrects, we did not reach our internal target. Therefore we want to give a stronger opportunity this summer and updated assessments will be done in October.",,,,,,,,,,,,,,,,fast_growth,0,,"[""FR""]",574da08a01d36_0.jpg,,[],,,,,,0,1,33527,5a215c59ce974_0.png
36654,"ABERLOUR 12Y",2016-07-01,2018-10-16,725,2013-07-01,2015-09-30,5,3,2,0,0,8,3,2,3,72,"Scotch Whisky",0,0,,1,,,"EXCL. FRANCE Aberlour 12YO is matured in both Sherry butts and American oak casks for the full maturation period before being subtly mixed together when the casks come of age. 
The Malt Game in Asia is  about treasure hunting, new discoveries, joy of exploration of uniqueness and discernment. The “craft” trend continues to grow, but is very cluttered with many new boutique entrants (from spirit category not just Single Malt) as well as some key international brands  (e.g. Balvenie). ","Aberlour 12 has a remarkable depth and velvet richness due to double cask maturation. ","""I want to demontrate my taste and knowledge to become the key influencer of my group of friends""",,", Asia remains a strong growth relay as does North America; Aberlour is part of the incubation project in the US.",,,,,,5a031fc580153_0.png,5a031fba572ed_0.png,,,,,slow_build,0,,"[""TW""]",5a1c47f6baf0b_0.png,5a031fd004526_0.png,"[""592c07bbc608a_0.png"",""5a031fcb63d85_0.png"",""5a1c47ff5d8cc_0.png""]",,,,,,0,1,36974,5b1a4fb04e018_0.png
79352,"ABERLOUR CASG ANNAMH",2017-11-14,2018-10-16,725,2018-01-01,2017-11-14,5,3,2,0,0,1,,,1,72,"Scotch Whisky",0,1,"Aberlour 15  YO",0,"Aberlour Casg Annamh has been created as a craft proposition to sit alongside A'bunadh and to bridge the pricing gap between Aberlour 12 YO and A'bunadh. ",," Casg Annamh is significantly influenced by the finest quality, hand-selected Oloroso Sherry Casks, this new expression has been created  as an introduction to Sherry cask maturation for malts adventurers. ",,"True pleasure stems from exploration and new experiences. I love sharing my new discoveries and being an interesting source of discovery for others",,,"Neat or with an ice sphere ","low energy bars","150 vs Aberlour 12","The Balvenie",,,,,,,,fast_growth,0,,"[""FR""]",5a0b21125eb8f_0.png,5a1edeb48e686_0.jpg,"[""5a1eded9d77a9_0.jpg"",""5a1edee2effce_0.jpg"",""5a1edeea0f368_0.jpg"",""5a1edf0795ffd_0.jpg"",""5a1edf120c307_0.jpg""]",,,https://mybrands.pernod-ricard.com/aberlour/articles/boutique-malts-ibp-storybook-nov-17,https://mybrands.pernod-ricard.com/aberlour/activations/november-17-casg-annamh,,0,1,36974,5b1a509e7fe02_0.png
69929,"ABERLOUR TRIPLE CASK ",2017-05-19,2018-10-16,725,2017-09-01,2017-04-19,4,3,2,0,0,1,,2,1,72,"Scotch Whisky",0,1,"Aberlour 16 YO (allocation restrictions)",0,,,,"Ultra Premium is one of the fastest growing price tiers growing at 5% CAGR. Driving volume share is key and can be achieved through a NAS proposition as allocation restrictions are currently strict on Aberlour 16YO. ","I want a NAS offering with a flavour profile that is just as rich and complex as the 16YO. ",,"Volume to come from Aberlour 16 YO","Neat or with an ice sphere","Low energy bars",,"The Balvenie",,,,,,,,fast_growth,0,,"[""FR""]",5a74875e0866c_0.png,,[],,,,,,1,1,36974,5a74862fef5ae_0.png
36574,"ABSOLUT APPLE",2016-07-01,2018-10-16,470,2011-09-01,2010-01-01,8,3,2,0,0,0,,,1,97,,0,0,,0,,,"Absolut Äpple is fresh and fruity with a distinct character of ripen red apples with a slight combination of ginger. It uniquely differentiates from competitors apple flavoured vodkas which are most 'green' flavoured apple.",,,,,,,,,,,,,,,,fast_growth,0,,"[""KR"",""DF4""]",95918e8ef75fa7cf70a1e3fe9646a4414e0cb18f_0.jpg,5a02e303b9812_0.png,"[""5a1579f471c8e_0.png""]",,,,,,0,1,33450,5a24f9ef1e9f2_0.png
36471,"ABSOLUT ART",2016-07-01,2018-10-16,383,2015-05-01,2015-04-26,3,2,3,0,0,8,,,1,97,,0,0,,0,"Build a substantial new revenue stream in a new industry where Absolut is uniquely positioned to become a category leader. Absolut Art engages Absolut's core target group and expands the brand's revenue stream in a fresh, purposeful, and profitable manner. Please see ""source of business"" section for more on the enormity of the opportunity. ",,"Absolut enjoys a 30 year heritage in the arts, collaborating with creatives ranging from Warhol to Hirst. Absolut Art builds on this historic engagement and is Absolut’s first revenue stream beyond spirits. 
Our mission is to democratise the access of art by making it as easy to discover and purchase online as music and fashion. We bridge the gap between artists creating and people collecting. 
On AbsolutArt.com you can choose from over 280 limited edition artworks, each handpicked from top art scenes like Berlin, Stockholm, and LA. Artworks arrive signed and numbered, shipped within 48 hours, and arrive framed and ready to display","There’s a giant gap in the art-buying market between posters and Picassos. Absolut Art fills that void, democratizing access to art by connecting people to a curated and seamless online art buying experience, delivering art on demand and at scale.","Absolut Art speaks to a new generation of buyers who want to invest in art they love at a price they can afford: it's an online entry point for people who wanted the trust and curation of a big galler",,"New segment. Fine art is a $64 billion per annum industry. Online art sales is the fastest growing portion but no single player has been able to claim market share majority: Absolut is primed to claim that spot and become the global category leader.","We help from A-Z: from discovery to display","B2C e-commerce, B2B partnerships","Artsy, Artspace, Twyla, Avant Art","Artspace, Twyla, Artsy, Avant Art","Absolut arts heritage (known brand vs competitors)",,,,,"1) Bowtie artist launches work best 2) B2B partnerships represent high-impact sales opportunity 3) Validation with consumers via press and relevant brand collaborations are important to fuel word-of-mouth","1) Christmas push (pop-up store, gift guides); 2) B2B collaborations with key partners in US and SWE; 3) Exploring low hanging fruit (UK? Bloggers?) 4) Optimizing online activations with low CPA",slow_build,0,,[],5b1fc5ac0d856_0.png,,[],,,,https://www.absolutart.com/,https://www.digitaltrends.com/home/absolut-art-collection/,1,1,33450,5a1bf31111fca_0.png
