old_id,innovation_old_id,key,value
56277,36436,complement_2016-10-15,"New November 2016: TAC signed a licensing agreement with a US supplier for a market test in 3 key cities in US between April and Sep 2017"
56486,36551,complement_2016-10-15,"Project timeline is renewed to target launch in July 2017 so the previous data input in FY16/17 is updated to zero in LE1 17. The adjustment is due to the prolonged deep dive in Chinese consumer demand and the subsequent rework on the business case."
56506,36651,complement_2016-10-15,"Complementary information
For LE1, no split available by sub-flavor. Volume for total Seagram's Gin Flavors = B17 volumes, so assumption that LE1 volumes and P&L for Melon would be aligned with B17.
Only change vs. B17 is the USD/EUR Fx rate.
No direct allocation of A&P by sub-flavor. For Total Seagram's Gin Flavors, total A&P is only $9k, so allocation hasn't been done either at that level: no specific activations for Flavors, Flavors are a roll-out of Core Seagram's, thus benefitting from activations and campaigns done for the whole brand."
56593,36434,complement_2016-10-15,"We have experienced a delay in establishing distributor agreements both in our local markets and internationally. These issues are being resolved, for example we have now signed Hi Spirits as our distributor in the UK (Our/London) and are about to sign with Southern for California (Our/Los Angeles), with De Kuyper in the Netherlands (Our/Amsterdam) and with Global Drinks Partners in Germany (Our/Berlin). International distribution partners have been subject to Affiliate review / discussion / agreement, this takes time and was not anticipated."
57468,36397,complement_2016-10-15,"only US P&L for LE1 as we don't have the detail in PRISMA. Missing Canada P&L for LE1."
57489,36394,complement_2016-10-15,"P&L not available in PRISMA - average CM/cs of Flavors used for calculating Contributive margin."
57491,36561,complement_2016-10-15,
57621,57006,complement_2016-10-15,"Project still on development phase - concepts and shapes still under evaluation. So far all the expent were focused on design agency. Next steps will contemplate research and capex for new bottle shape."
57624,36431,complement_2016-10-15,"Project was first launched in a more controllable market (dec/14): one city and some selected clients.  
The pilot was very successful at the chosen city and due to the great market acceptance of the new flavors, we expanded the sales to a wider region (feb/16), that also presented a great result. 
Now, the team is developing the launch strategy to make the products available to the whole country and clients. Once the decision is approved by CODI, volumes will increase, but will only be reflected in LE02."
57692,36452,complement_2016-10-15,"Oddka is  produce only locally in Argentina , one market. It is not  planned to focus on the brand.
Cumul CAAP negative (6.2)M€ over the past 5 years"
57694,36582,complement_2016-10-15,"Complementary information
Flavors of the world has been discontinued in Poland in 01.2016 and has been replaced by Polish Discoveries"
57716,36491,complement_2016-10-15,"Great success across Europe, home of Ballantine's :#2 Flavoured Whisky where launched  (MS=15.2% vol. IWSR), with leading position in Poland, Lithuania, Hungary, Romania 
Fast acceleration in Summer 16 ( FYTD Oct 16 : +30% vs LY)
Next steps : Accelerate growth in Spain, France and TR-EMEA . Explore Russia, China and the US through pilots"
57726,36489,complement_2016-10-15,"Launched at scale in Poland ( Nov 15), France ( March 16), and TR-EMEA ( Sept 16).
Launch in Chile postponed to April17, driving lower depletions in LE1 17
Already counting for 20% of Jack Daniel's 70cl rotations in France and Poland."
57856,36616,complement_2016-10-15,"Expected to enter Test Marketing state in Feb'17. LE1 estimate of Volume is 20 K Cases."
57868,36627,complement_2016-10-15,"Launched in 1 Test Market in Nov'16."
58324,36584,complement_2016-10-15,"Family and Friends is not connected yet to Prisma, business plans are made before each launch after the logistic set up has been defined. F&F is not launched without a profitable configuration."
58437,36553,complement_2016-10-15,"Experimentation period - limited volumes"
58755,36652,complement_2016-10-15,
58816,36587,complement_2016-10-15,"LE#1 17: Only market France. Germany to be addressed during LE#2"
58857,36518,complement_2016-10-15,"LE1 17 Volumes (in k9lcs) : 0,408"
58878,36445,complement_2016-10-15,"still to update central investment"
59293,36632,complement_2016-10-15,"Launch delayed to Jan 2017."
59404,36451,complement_2016-10-15,"Eclat by Imperial was decided to be withdrawn due to the strategic focus on the core consumers (Male whisky consumers)"
59417,36450,complement_2016-10-15,
59490,36485,complement_2016-10-15,"The tentative launch date has been changed. There are some delays and the project wont be launched until March 2017."
59685,57656,complement_2016-10-15,"A16: Design + Research
B17: Design finalisation + Launch Material + Event"
59829,36530,complement_2016-10-15,"Data regarding current Havana Club Cola Can only"
59863,36600,complement_2016-10-15,"First markets (GTR) will launch from June '17
Domestic markets from Sept '17"
59887,36516,complement_2016-10-15,"Product is made on a single-batch, as required basis and is sold through the Distillery Visitors Centre, Dandelyan Bar at the Mondrian hotel (as an on-trade exclusive) and the Chelsea Physic Gardens."
60324,60308,complement_2016-10-15,mmmm
60452,60290,complement_2016-10-15,"A16 data only includes 6 months of revenues in as the brand only entered the portfolio in January 2016."
61321,36487,complement_2016-10-15,"Key markets: GTR will be a key part of the future growth of CRExtra as JWDB over indexes in that channel as well. CR Extra will need to be accelerated in order to reach 16% of CR12 in GTR (vs. 10% in domestic markets). The USA, Thailand and Australia remain key markets for CRExtra globally.
No cannibalization has been identified on CR12 or CR18. Although some of the CRExtra shoppers are already CR12 drinkers, they normally add CRExtra to their repertoires*
The ability for the key RTB to be understood depends on the level of whisky education of consumers."
61341,36511,complement_2016-10-15,"Value Creation & Incrementality: 
Jameson Caskmates delivered a NSR/L v Original of 130* in FY16
In the US, 61% of the Jameson Caskmates volume** sold has been incremental to the Jameson brand.

New Consumers, New Occasions: Jameson Caskmates is also opening up new occasions (with 1 in 2 drinking a beer alongside Jameson Caskmates) and (re)recruiting new consumers into the brand.***"
