old_id,innovation_old_id,user_old_id,role,right
106751,65530,514,maker,read
106752,36442,514,maker,read
106753,36399,514,,read
106754,36660,514,,read
106755,36651,514,,read
106756,36400,514,,read
106757,75968,514,,read
106758,36652,514,,read
106761,36654,444,,read
106762,79352,444,,read
106763,69929,444,,read
106764,36440,444,,read
106765,94633,444,,read
106766,94683,444,,read
106767,36491,444,,read
106768,94658,444,,read
106769,36489,444,,read
106770,94587,444,,read
106771,94609,444,,read
106772,36600,444,,read
106773,94704,444,,read
106774,36430,444,,read
106775,36488,444,,read
106776,36441,444,,read
106777,36487,444,,read
106778,36603,444,,read
106779,36486,444,,read
106780,36490,444,,read
106781,79322,444,,read
106782,36392,444,,read
106783,36437,444,,read
106784,36438,444,,read
106785,36439,444,,read
106786,36387,444,,read
106787,36388,444,,read
106788,36389,444,,read
106789,62932,444,,read
106790,67506,444,,read
106791,68325,444,,read
106792,36648,444,,read
106793,62666,444,,read
106794,36615,444,,read
106795,59899,444,,read
106796,36435,444,,read
106797,36395,444,,read
106798,36393,444,,read
106799,67672,444,team_leader,write
106800,59469,444,team_leader,write
106801,36386,444,team_leader,write
106802,36433,444,contact,write
106804,36465,444,team_leader,write
106805,36432,444,team_leader,write
106806,36467,444,team_leader,write
106807,36466,444,team_leader,write
106808,65530,902,,read
106809,36442,902,,read
106810,36399,902,,read
106811,36660,902,,read
106812,36651,902,,read
106813,36400,902,team_leader,write
106814,75968,902,,read
106815,36652,902,,read
106816,36520,560,financial_leader,write
106817,57827,560,financial_leader,write
106818,36655,560,financial_leader,write
106819,36622,560,financial_leader,write
106820,36619,560,financial_leader,write
106821,84783,560,financial_leader,write
106822,36606,560,financial_leader,write
106823,36511,560,financial_leader,write
106824,36607,560,financial_leader,write
106825,36618,560,financial_leader,write
106826,36640,560,financial_leader,write
106827,36605,560,financial_leader,write
106828,36620,560,financial_leader,write
106829,36507,560,financial_leader,write
106830,36614,560,financial_leader,write
106831,36396,560,financial_leader,write
106832,36506,560,financial_leader,write
106833,58101,560,financial_leader,write
106834,36474,560,financial_leader,write
106835,36481,560,financial_leader,write
106836,94787,560,financial_leader,write
106837,36480,560,financial_leader,write
106838,36483,560,financial_leader,write
106839,36608,560,financial_leader,write
106840,36613,560,financial_leader,write
106841,36604,560,financial_leader,write
106842,84890,560,financial_leader,write
106843,84865,560,financial_leader,write
106844,36611,560,financial_leader,write
106845,36610,560,financial_leader,write
106846,36609,560,financial_leader,write
106847,100797,560,financial_leader,write
106848,80974,560,financial_leader,write
106849,36512,560,financial_leader,write
106850,36514,560,financial_leader,write
106851,36601,560,financial_leader,write
106852,36521,560,financial_leader,write
106853,36509,560,financial_leader,write
106854,75846,625,contact,write
106855,36524,625,contact,write
106856,36552,280,,read
106857,36458,280,,read
106858,36459,280,,read
106859,36462,280,,read
106860,36555,280,,read
106861,36553,280,,read
106862,36554,280,team_leader,write
106863,36562,280,team_leader,write
106864,36523,280,team_leader,write
106865,36656,280,team_leader,write
106866,36536,280,team_leader,write
106867,36532,280,team_leader,write
106868,36519,280,contact,write
106869,36531,280,team_leader,write
106870,68390,280,team_leader,write
106871,36537,280,team_leader,write
106872,36378,280,team_leader,write
106873,36377,280,team_leader,write
106874,36563,280,team_leader,write
106875,66218,280,team_leader,write
106876,67334,280,,read
106877,36454,280,,read
106878,36385,280,,read
106879,36535,280,,read
106880,67379,280,,read
106881,36534,280,,read
106882,36375,280,,read
106883,36564,280,,read
106884,36567,280,,read
106885,36461,280,,read
106886,36457,280,,read
106887,80169,280,,read
106888,36566,280,,read
106889,36568,280,,read
106890,72346,280,,read
106891,36654,1185,,read
106892,79352,1185,,read
106893,69929,1185,,read
106894,36440,1185,,read
106895,94633,1185,,read
106896,94683,1185,,read
106897,36491,1185,,read
106898,94658,1185,,read
106899,36489,1185,,read
106900,94587,1185,,read
106901,94609,1185,,read
106902,36600,1185,,read
106903,94704,1185,,read
106904,36430,1185,,read
106905,36488,1185,,read
106906,36441,1185,,read
106907,36487,1185,,read
106908,36603,1185,,read
106909,36486,1185,,read
106910,36490,1185,,read
106911,79322,1185,,read
106912,36392,1185,,read
106913,36437,1185,,read
106914,36438,1185,,read
106915,36439,1185,,read
106916,36387,1185,,read
106917,36388,1185,,read
106918,36389,1185,,read
106919,62932,1185,team_leader,write
106920,67506,1185,team_leader,write
106921,68325,1185,contact,write
106922,36648,1185,team_leader,write
106923,62666,1185,team_leader,write
106924,36615,1185,team_leader,write
106925,59899,1185,team_leader,write
106926,36435,1185,,read
106927,36395,1185,,read
106928,36393,1185,,read
106929,67672,1185,,read
106930,59469,1185,,read
106931,36386,1185,,read
106932,36433,1185,,read
106933,36465,1185,,read
106934,36432,1185,,read
106935,36467,1185,,read
106936,36466,1185,,read
106937,36552,777,,read
106938,36458,777,,read
106939,36459,777,,read
106940,36462,777,,read
106941,36555,777,,read
106942,36553,777,,read
106943,36554,777,,read
106944,36562,777,,read
106945,36523,777,,read
106946,36656,777,,read
106947,36536,777,,read
106948,36532,777,,read
106949,36519,777,,read
106950,36531,777,,read
106951,68390,777,,read
106952,36537,777,,read
106953,36378,777,,read
106954,36377,777,,read
106955,36563,777,,read
106956,66218,777,,read
106957,67334,777,maker,read
106958,36454,777,maker,read
106959,36385,777,maker,read
106960,36535,777,maker,read
106961,67379,777,maker,read
106962,36534,777,maker,read
106963,36375,777,maker,read
106964,36564,777,,read
106965,36567,777,,read
106966,36461,777,,read
106967,36457,777,,read
106968,80169,777,maker,read
106969,36566,777,,read
106970,36568,777,maker,read
106971,72346,777,maker,read
106972,36654,889,financial_leader,write
106973,79352,889,financial_leader,write
106974,69929,889,financial_leader,write
106975,36440,889,financial_leader,write
106976,94633,889,financial_leader,write
106977,94683,889,financial_leader,write
106978,36491,889,financial_leader,write
106979,94658,889,financial_leader,write
106980,36489,889,financial_leader,write
106981,94587,889,financial_leader,write
106982,94609,889,financial_leader,write
106983,36600,889,financial_leader,write
106984,94704,889,financial_leader,write
106985,36430,889,financial_leader,write
106986,36488,889,financial_leader,write
